Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	2.8016777	6.3036103	34.06205	-10.55314	79.696686	13.652495	100.48052	56.236694	21.567568	193.3	3999	10.556026	8.460496	39.930862	-15.913462	10.5559	8.462721	38.609863	-14.930612	0.13388237	2.8863976	18.799433	-14.614597	-12.946653	1.8316842	20.888954639434814
2	1.9859469	5.7946258	46.83491	-8.78071	737.3526	195.5741	904.97565	384.20718	20.538462	787.3	7999	46.127686	17.717123	98.436005	-39.871635	46.128666	17.72491	98.808655	-50.443516	2.4377148	4.1085663	40.4134	-13.873481	-51.03647	15.112892	50.13425946235657
3	4.216697	13.613129	95.928406	-60.411663	39.72871	57.372707	207.70917	13.272311	28.333334	57.6	11999	75.11282	18.984232	127.71418	-60.527557	75.11566	18.997896	125.02874	-65.68273	0.89120716	5.3205113	53.90808	-15.53602	-80.005844	45.900913	75.66754674911499
4	125.31643	133.23602	436.14993	-25.955708	72.9579	281.55603	917.4043	-26.41833	144.75	199.1	15999	80.722404	21.79234	132.02527	-92.55479	80.72012	21.818775	134.00238	-53.051178	0.5191837	4.643881	49.578735	-12.376903	-84.685234	37.927128	108.01506185531616
5	42.857166	87.87347	359.1222	-25.572584	157.3905	86.79753	259.00504	38.508614	158.67857	163.4	19999	83.49375	25.336115	174.30914	-42.033302	83.49261	25.351469	179.63141	-42.67823	0.22925164	4.4384565	45.06291	-15.77904	-87.0449	36.100033	137.3672640323639
6	164.42772	97.29817	333.07745	-17.722284	146.99622	84.8246	309.92807	63.524105	174.39131	139.6	23999	85.98626	28.36006	172.34981	-51.588966	85.98538	28.36984	175.46915	-58.675983	0.29758555	4.164334	41.86307	-14.264036	-88.90028	44.517124	168.11689043045044
7	152.5635	93.94487	305.50223	-35.016937	284.4183	58.307995	389.63452	217.16296	144.78572	171.5	27999	88.55911	30.493792	162.15721	-71.665924	88.55732	30.500359	162.68683	-67.61002	0.64329857	4.1447363	55.007767	-15.8158865	-91.20862	51.832024	197.0476200580597
8	246.3523	157.4432	746.8487	8.4467125	326.8996	45.66315	410.23306	252.68144	191.75	213.2	31999	89.87033	30.74914	164.34225	-46.954132	89.87017	30.755095	162.54588	-48.2632	0.52535903	4.056804	44.698452	-13.452933	-92.19646	48.75265	232.45469760894775
9	206.80537	98.103035	371.17096	3.8455842	262.8455	66.20083	370.23865	169.3885	147.75	164.9	35999	90.71915	30.406267	160.18575	-60.64115	90.7193	30.415827	160.38718	-47.65413	0.33119956	3.9502897	44.580368	-15.164168	-92.72765	45.36305	261.20851492881775
10	228.47853	117.02712	476.58374	25.857904	229.1075	79.3699	387.74243	110.20256	165.5	141.4	39999	90.34153	30.77646	159.14449	-50.75532	90.34298	30.779367	157.30627	-64.56191	0.17780761	3.7923474	48.365314	-12.727873	-92.08829	42.640045	289.08220624923706
11	246.38062	63.346237	397.839	138.59576	208.93562	57.54701	282.4842	127.23564	142.64285	148.2	43999	89.92479	31.77567	164.22372	-58.978386	89.92723	31.782894	164.13875	-59.676357	0.2587207	3.6526036	45.95741	-15.599781	-91.58374	41.807068	316.4846467971802
12	236.5913	73.31833	407.90067	112.532135	237.5021	28.398134	311.7743	199.47949	145.96428	157.8	47999	91.18372	32.683628	164.57047	-63.64428	91.18689	32.680508	165.90538	-60.173782	0.3494441	3.5432556	47.57793	-12.659538	-92.75078	40.566242	344.33072566986084
13	205.33597	71.20931	378.71573	76.200935	150.57314	10.136735	169.0888	137.95879	142.85715	106.7	51999	91.10943	32.873905	161.05241	-112.906166	91.11179	32.875656	161.62196	-83.61584	0.2780163	3.5829399	50.046482	-14.129638	-92.52949	38.502064	372.0682909488678
14	239.16559	121.9326	515.86865	19.82665	127.668846	9.476827	144.29504	114.91389	164.41667	101.4	55999	90.33089	32.8048	174.40588	-45.785774	90.334	32.79952	169.05241	-53.757008	0.21635479	3.551816	43.30502	-13.720717	-91.63448	35.07208	400.1499044895172
15	250.02736	103.95048	486.8526	32.915497	421.46793	61.532394	509.36957	328.24094	145.03703	231.3	59999	89.06621	33.085163	170.88876	-73.85806	89.07026	33.080486	170.01897	-66.60329	0.07906479	3.4534576	51.046394	-14.920494	-90.299065	33.196903	429.19286942481995
16	269.52136	116.077	533.1692	16.695444	478.2063	118.66833	670.48395	284.0679	157.38461	338.9	63999	88.2753	33.318466	175.16159	-56.81918	88.27835	33.31535	171.55428	-72.96069	-0.0024205877	3.402487	42.520035	-13.17878	-89.4322	30.886736	459.08308005332947
17	290.10776	100.537674	575.0837	20.68317	446.17813	119.03245	694.9387	329.78275	154.03847	226.8	67999	88.77018	33.135048	171.8341	-63.66057	88.77237	33.13505	171.66222	-52.639038	-0.13173258	3.3631992	46.460506	-13.166529	-89.89438	30.40299	489.2640633583069
18	236.45285	171.49834	600.3287	15.640967	626.58795	242.28447	1110.0828	290.5472	124.53125	355.6	71999	89.75784	32.897976	173.42534	-50.10741	89.76024	32.90157	172.38911	-40.646088	-0.18527764	3.326991	45.650845	-12.355054	-90.84913	29.744827	520.2168576717377
19	337.75427	191.44687	736.35455	16.834642	553.96344	117.400566	793.46643	457.07422	161.36	237.3	75999	91.61911	33.31446	175.38136	-51.28209	91.62138	33.312595	176.35696	-48.016617	-0.2702925	3.2990415	51.64469	-12.753261	-92.64629	30.975319	552.026629447937
20	331.11438	198.0871	710.5585	30.664862	682.1942	241.91924	1014.91516	418.74112	159.875	518.1	79999	93.58892	33.675304	176.45854	-51.95661	93.59111	33.6764	177.95166	-56.472073	-0.34053788	3.2405741	45.342144	-16.88215	-94.60039	30.72152	586.1373853683472
21	384.1791	141.72206	594.31055	49.578518	105.51186	32.695225	130.64595	37.29715	202.85	76.8	83999	96.35126	34.50253	180.56557	-77.78909	96.35324	34.502205	181.42143	-50.280888	-0.31331858	3.3457468	43.23709	-14.485516	-97.380684	30.722336	619.4935164451599
22	375.43225	213.0305	950.2631	35.101746	210.73006	329.74933	1123.9272	22.41611	188.66667	116.9	87999	99.49835	35.364468	188.2888	-74.65985	99.50142	35.360065	187.12582	-80.14402	-0.29493845	3.3797133	45.2687	-14.723856	-100.520744	31.292185	653.2438609600067
